;Overall;Overall
Model;Camembert;Flaubert
Average_nouns;0.6641909694859185;0.6514587840011175
Average_verbs;0.6647630147630148;0.6040938228438228
Avocat;0.7380952380952381;0.5357142857142857
Bien;0.7857142857142857;0.7448979591836735
Bureau;0.5048543689320388;0.5145631067961165
Faculté;0.7875;0.6875
Filer;0.7916666666666666;0.59375
Glace;0.6422764227642277;0.4634146341463415
Global_average;0.6643469818342175;0.6385410673218553
Souris;0.5441176470588235;0.6029411764705882
Supporter;0.6545454545454545;0.5454545454545454
Tirer;0.5480769230769231;0.6730769230769231
Tour;0.6756756756756757;0.7567567567567568
Vol;0.6352941176470588;0.9058823529411764
