,optimal_clusters,correct_clusters,score,correct_cluster_score,no_cluster_baseline,three_cluster_baseline,seven_cluster_baseline
Avocat,3.0,2.0,0.8036426589295034,0.8150984378045724,0.0,0.8036426589295034,0.26117861836355516
Bien,3.0,3.0,0.9654410605877043,0.9654410605877043,0.0,0.9654410605877043,0.44985935368469426
Bureau,2.0,3.0,0.19385283320417607,0.16733117687402116,0.0,0.16733117687402116,0.12884464129290873
Faculté,2.0,3.0,0.7336714213301259,0.49102688164483094,0.0,0.49102688164483094,0.48800279362674304
Filer,4.0,3.0,0.7909868993574418,0.8797819352773357,0.0,0.8797819352773357,0.4476363183814248
Glace,4.0,5.0,0.4259438760334223,0.5353303160667116,0.0,0.360389886666572,0.3910921343997244
Souris,9.0,3.0,0.30354728942339065,0.33552305472006466,0.0,0.33552305472006466,0.34202766818979513
Supporter,10.0,3.0,0.1416918893961935,0.304319041064864,0.0,0.304319041064864,0.1757253616817201
Tirer,3.0,2.0,0.04061766522544781,-0.08180165623106443,0.0,0.04061766522544781,0.17836425865594357
Tour,8.0,5.0,0.5711883211463235,0.525775593420053,0.0,0.31411662203400753,0.6086454852748627
Vol,3.0,2.0,0.9032147596421386,1.0,0.0,0.9032147596421386,0.27870155850595446
