;V_measure;V_measure
Model;Camembert;Flaubert
Average_nouns;0.5569266786379463;0.6684557156065671
Average_verbs;0.577241201420159;0.4682925394542332
Avocat;0.7455367200925976;0.7020502716093676
Bien;0.7398866706018208;0.9541014187403704
Bureau;0.3745987353649308;0.3606389452968296
Faculté;0.1646539163614197;0.7988668250065365
Filer;0.6249935253572159;0.8818594500715287
Glace;0.5840046880508946;0.4643790540203866
Global_average;0.5624670030330953;0.6138657584741124
Souris;0.486392925227047;0.5396005727595151
Supporter;0.4257157621890534;0.349227095723641
Tirer;0.6810143167142076;0.1737910725675302
Tour;0.6478393222321283;0.725616091556109
Vol;0.7125004511727321;0.8023925458634226
