;Weighted;Overall;V_measure;Rand;F1;Type;Amount_senses;Cluster_Estimation
Avocat;0.6428571428571429;0.5357142857142857;0.24540719364377486;0.06816735981091539;0.5568421052631579;Noun;2;1
Bien;0.393431855500821;0.41836734693877553;0.017448012545780336;-0.010415902935825446;0.4141215608768922;Noun;3;0
Bureau;0.3305114638447972;0.5145631067961165;0.008219469270186514;-0.011110294668854732;0.371938230395052;Noun;3;-1
Faculté;0.4221364221364221;0.5375;0.09526454501179225;0.10873887966679265;0.4837294727744166;Noun;3;0
Filer;0.5602836879432624;0.6354166666666666;0.5294779108197604;0.3896942372959132;0.6102931717608315;Verb;3;1
Glace;0.29182529335071705;0.5365853658536586;0.1297778649906493;0.0925330679447035;0.43770000284939553;Noun;5;-2
Souris;0.4480286738351254;0.5735294117647058;0.37022730801380893;0.31123618060316;0.6129536921151439;Noun;3;0
Supporter;0.6309523809523809;0.6727272727272727;0.6265742488782894;0.4157775469738457;0.5925133689839572;Verb;3;0
Tirer;0.5031531531531532;0.7019230769230769;0.01379755936436257;0.004032309752910918;0.6035233516483517;Verb;2;1
Tour;0.18333333333333332;0.28378378378378377;0.03496428094356987;-0.02569342188924894;0.1745115902419273;Noun;5;-2
Vol;0.44999999999999996;0.5529411764705883;0.030374317669760762;-0.014722881892886681;0.5513085399449036;Noun;2;1
Average_nouns;0.3952655231072949;0.49412305966523923;0.11646037401116537;0.06484162332984447;0.4503881493076112;;;
Average_verbs;0.5647964073495989;0.6700223387723389;0.38994990635413745;0.2698346980075566;0.6021099641310469;;;
Global_average;0.4415012188097415;0.5420955903308117;0.19104842828652135;0.12074882551467506;0.491766826077639;;;
