;Overall_no_cluster;F1_no_cluster;Type
Avocat;0.6746987951807228;0.5333333333333333;Noun
Bien;0.5;0.3333333333333333;Noun
Bureau;0.5242718446601942;0.3606456001484138;Noun
Faculté;0.4625;0.2925213675213676;Noun
Filer;0.4895833333333333;0.3218240093240093;Verb
Glace;0.4796747967479675;0.3109979451442866;Noun
Souris;0.45588235294117646;0.2855020796197267;Noun
Supporter;0.5;0.34348302300109523;Verb
Tirer;0.7115384615384616;0.5916162489196197;Verb
Tour;0.3150684931506849;0.15885273028130173;Noun
Vol;0.7058823529411765;0.5841784989858013;Noun
Global_average;0.5290091300448835;0.374208015419299;
Average_nouns;0.5147473294527403;0.3574206110459456;
Average_verbs;0.5670405982905983;0.41897442708157473;
