;Weighted;Weighted
Model;Camembert;Flaubert
Average_nouns;0.4078641808415367;0.3817651313209645
Average_verbs;0.6993963988094581;0.5746393903482027
Avocat;0.3392857142857143;0.4153439153439153
Bien;0.4487450152474783;0.3462585034013605
Bureau;0.5425044091710758;0.4128747795414462
Faculté;0.5841269841269842;0.4798798798798798
Filer;0.7204328686720469;0.7149425287356322
Glace;0.1577574967405476;0.2305519339417644
Global_average;0.4873729675600607;0.4343672019647568
Souris;0.4938271604938271;0.334926324173636
Supporter;0.6246031746031746;0.3432098765432099
Tirer;0.7531531531531532;0.6657657657657658
Tour;0.175;0.2142857142857142
Vol;0.5216666666666666;0.62
