;F1;F1
Model;Camembert;Flaubert
Average_nouns;0.4780514776542186;0.3403794140488738
Average_verbs;0.6289694092894664;0.5087210073743879
Avocat;0.5331621737270005;0.470679012345679
Bien;0.3716947648624668;0.2765283920187154
Bureau;0.3270001346501186;0.3997337767166233
Faculté;0.5023813273018781;0.4069738186964384
Filer;0.8842299578059072;0.5596306703612639
Glace;0.5013888285050409;0.2852237155024612
Global_average;0.5192109135547407;0.386290757683105
Souris;0.8476868057334206;0.3871760198332206
Supporter;0.3856599728257482;0.4035670912159939
Tirer;0.6170182972367438;0.5629652605459057
Tour;0.343338682812367;0.1967824967824968
Vol;0.3977591036414566;0.299938080495356
